CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,SatisfactionScore,CardType,PointsEarned,LastTransactionDate,AccountType,Branch
15634246,Gupta,900.0,Spain,F,41.0,9,67593.4,2,0.0,1.0,64260.7,1,0.0,4.0,GOLD,560,09-Mar-2024,savings,Hyderabad Hitech
15641581,Reddy,771.0,germany,female,37.0,6,,2,1.0,1.0,155339.66,0,0.0,1.0,platinum,52,24-May-2018,Savings,Ahmedabad Branch
15640080,Schmidt,720.0, Spain,Female,27.0,5,34673.57,1,0.0,,178879.92,0,0.0,4.0,DIAMOND,469,10/19/2019,Savings,Lucknow Branch
15633692,Gupta,577.0,Germany ,male,24.0,3,128854.99,2,0.0,1.0,26149.23,0,0.0,3.0,Silver,987,11/06/2021,Current,Ahmedabad Branch
15649631,Davis,769.0,Germany ,Male,45.0,4,-6852.01,2,1.0,1.0,43663.58,0,0.0,2.0,gold,489,,Current ,Pune West
15614741,Garcia,566.0, Spain,M,42.0,2,170170.91,1,0.0,1.0,61533.17,0,1.0,3.0,Diamond,450,11/07/2021,Savings,Ahmedabad Branch
15611789,Bauer,633.0, Germany,male,23.0,5,220860.35,3,1.0,1.0,48835.55,0,1.0,3.0,SILVER,615,13-Jan-2024,savings,Hyderabad Hitech
15625170,Nair,716.0,germany,MALE,36.0,10,,2,1.0,1.0,158808.19,0,0.0,3.0,diamond,201,09/20/2022,Current,Kolkata Main
15645391,Bauer,680.0,France,Male,191.0,1,138982.18,1,1.0,1.0,109868.74,1,0.0,3.0,gold,137,,Current ,Mumbai Central
15638180,Brown,605.0,france,Male,34.0,6,120989.34,1,1.0,0.0,162930.27,1,0.0,2.0,Gold,203,07-Mar-2018,Savings,Ahmedabad Branch
15621927,Patel,591.0,SPAIN,MALE,42.0,3,53138.08,2,0.0,1.0,112969.87,0,0.0,4.0,GOLD,777,13/01/2018,Current ,Hyderabad Hitech
15609977,Smith,749.0,Spain,male,53.0,7,1960.49,2,1.0,1.0,194163.51,0,1.0,4.0,GOLD,334,05/08/2021,Savings,Chennai South
